review_text,review_rating
"I bought this tablet a few years back, mainly buying into the hype that you “need” a tablet to be good at OSU!

On Windows, it’s a decent, cheap device. It works fine for gaming and the input is responsive. If you use a Windows PC, it’s a solid choice.

Recently, I tried using this with my new MacBook for College work, writing notes and answering practice questions as it is advertised as an “Online-Learning Device”. It was a nightmare. Despite downloading drivers from the Gaomon website, I couldn’t get the pressure sensitivity to work properly, nor could my Mac recognise the device. The cursor moves, but you have to press down incredibly hard for it to register, making it useless for writing.

The active area is quite small, so if you have large hands you might find it quite cramped. It uses Micro-USB, and the pen is comfortable enough, but a little thick.

In short, it’s great on Windows (aside from the fact that the software is quite clunky), but I cannot recommend it for Mac Users or students wanting to take notes.",3.0
Pretty efficient very effective it is a great prize for a starter gadget. Very interesting to get into digital. Art with it got apt bettet at drawing on my pc with it overall its great for people who on a budget and want to start doing drawing on iPad or pc or iPhone,5.0
it's good for drawing. The buttons are useful. There is no battery life connects to USB. The value for money is good when it has discounts. you can customise the pressure and sensitivity to however you like. To improve it can be a big bigger to be perfect. Overall the quality is great.,4.0
Great product. It works straifht out of the box. The parcel was delivered in the middle of an online lesson I was conductiong and I was able to seamlessly start using it straight away in that very same lesson! The pen itself comes with a nice felt case but I wish they also provided a case for the pad itself for portability.,5.0
"Wow. I'm pleasantly surprised. I previously owned a much more expensive Wacom tablet. After years of frustrations with that one in relation to drivers and glitchy behaviour I finally decided to chance a different brand. I have to say I'm blown away. For the price point it's excellent. I don't know why anybody would need to spend more money than this. It does everything I want and does it well. The software is great too. Nice and simple, works well without clutter. Very happy with my purchase.",5.0
"Very impressed with this signature tablet!! Compatible on Windows 11, very to install. Just download the driver from their website. (Tip: Run As Administrator when installing the driver for all users to use on a PC).

The tablet is light weight, decent, practical sized. The stylus is lovely to grip and responsive on the tablet. Easy to use and setup.",5.0
"I own a MacBook Pro 14” with an M5 chip, and mainly use this product in the preview app to add annotations. It was very easy to set up and works as described, though since I’m using the preview app there isn’t a shortcut for the brush/pen though a shortcut can be added. It does get a little bit confused every now and then and seems to not be able to properly replicate the delete button. There is no more usb port on a MacBook so I had a little scare that I wouldn’t be able to use but the converter meant for the phone works just fine. Seems pretty smooth but I tend to write with a lot of pressure and can not figure out how to change that. Though if you’re using the recommended applications this will be easily customisable for you. Comes with everything for described and for 20 pounds is an excellent alternative to a iPad",4.0
"I love this tablet!
The pen feels solid and I haven't had any issues with mine breaking or getting work yet, for the price that you pay, it's amazing. No setup needed unless you want to change some settings.
Value 10/10
Design 10/10

Would reccomend!",5.0
"My wife needed a tablet to complete a design course that she is doing. She has a Mac and a PC, so I needed a tablet that was low cost that works easily with Mac OS and Windows. I also didn't want a pen with a battery.

I looked at all the others in this price range and watched many videos. Some of the review videos can be very fussy when reviewing these things so I also had to add a bit of my own judgement. I seem to have made the right choice with this model. As my wife is incredibly pleased with it. Believe me, if this were no good, she would be getting me to buy a different one. So already, we are onto a winner.

The pen is of an excellent quality and has no battery to keep having to change. It is accurate and the only problem my wife has is getting used to using it as a pen and not a mouse. When you first use these things, you want to try to use it like a mouse. But with a tablet, if you move the pen to the top right of the pad, then the mouse pointer will be at the top right no matter what you do.

The buttons on the tablet are a nice to have. They are easy to setup and customise with the provided app.

She has been using it with Adobe Creative Cloud with no issues at all. We just plugged it in, and it worked. Nothing else to do really.

At the cost, I thought it was going to be a nightmare. But this tablet has really surprised me with how effective it is at this price. I have been buying the famous brand all these years thinking there is no other make of tablet that I would want to use. This model has changed all that for me and I would be happy to look at other products made by this brand.

This tablet also comes with a nice storage bag and a USB to USB C and USB Mini adapter. It also works with Windows 7 if you don't have Windows 10 yet. You can also use the USB C adapter to connect other items to your Mac such as a USB memory stick.

The tablet is 10mm thick, so not too high for drawing.

Overall, a high-quality, extremely easy to use tablet and comes in a quality box with everything needed.",5.0
"Affordable tablet that just works
My experience with the tablet has been great, it’s a nice and affordable bit of kit, may not be an artist or an OSU player, but for my use of teaching online, it’s been great.

Using it
The pen glided well, nice bit of resistance, not as much as paper but enough to make it comfortable to write with. The button mapping was useful and easily reprogrammable in the app, my main use being switching brushes and tacking screenshots. The pressure sensitivity, yeh nice and responsive with smooth size changing. It made my writing look much more natural. So enjoyed it.

Use in MS white board
Once you get the screen ratio right it is great and improves your ability to teach as you can show live examples and easily annotate. The reprogrammable buttons have been more useful than I thought, switching between brushes and screenshots made easy.

Pen
The pen, honestly was the best. Much better than the pen you get with other budget tablets like the Wacom One. The pen being battery free was a good convenience as you have it ready when ever you need it, but bear in mind that there is a limit to how far up you can hold the pen being roughly 0.7 cm when you just lifted it off the pad. So you will want to hold the pen a bit higher up but that’s not really an issue. Holding it was realy comfortable esspecialy with the grip.

Connectivity
This is where it starts of strong, this is one of them rare occasions where there is support for Linux. This off the bat was surprising. This ment I could use it with my workstation. However, my main use was on windows, so regarding that it was great. Basic plug and play.

App
The app responsive, and simple. Plug in the tablet, it does the rest. With the UI, it was very clean, making it easy to remap buttons and screen ratio which was nice and intuitive. Didn’t like that it was on start-up, but the tablet works best with the app so that’s fine. But personally, I leave start-up disabled and open as needed.

Overall I have loved using it and in my opinion for its price it is the best and possibly only thing you need as 10 replacement nibs will last you a while and given your not doing anything extreme it ticks most boxes and is better than similar priced alternatives like Wacom one.

Warning
The app drivers conflict with Asus armoury crate to the point I had weird issues. Please ensure if you have an asus computer or motherboard to disable this dumb app.",5.0
"I bought this tablet a few years back, mainly buying into the hype that you “need” a tablet to be good at OSU!

On Windows, it’s a decent, cheap device. It works fine for gaming and the input is responsive. If you use a Windows PC, it’s a solid choice.

Recently, I tried using this with my new MacBook for College work, writing notes and answering practice questions as it is advertised as an “Online-Learning Device”. It was a nightmare. Despite downloading drivers from the Gaomon website, I couldn’t get the pressure sensitivity to work properly, nor could my Mac recognise the device. The cursor moves, but you have to press down incredibly hard for it to register, making it useless for writing.

The active area is quite small, so if you have large hands you might find it quite cramped. It uses Micro-USB, and the pen is comfortable enough, but a little thick.

In short, it’s great on Windows (aside from the fact that the software is quite clunky), but I cannot recommend it for Mac Users or students wanting to take notes.",3.0
Pretty efficient very effective it is a great prize for a starter gadget. Very interesting to get into digital. Art with it got apt bettet at drawing on my pc with it overall its great for people who on a budget and want to start doing drawing on iPad or pc or iPhone,5.0
it's good for drawing. The buttons are useful. There is no battery life connects to USB. The value for money is good when it has discounts. you can customise the pressure and sensitivity to however you like. To improve it can be a big bigger to be perfect. Overall the quality is great.,4.0
Great product. It works straifht out of the box. The parcel was delivered in the middle of an online lesson I was conductiong and I was able to seamlessly start using it straight away in that very same lesson! The pen itself comes with a nice felt case but I wish they also provided a case for the pad itself for portability.,5.0
"Wow. I'm pleasantly surprised. I previously owned a much more expensive Wacom tablet. After years of frustrations with that one in relation to drivers and glitchy behaviour I finally decided to chance a different brand. I have to say I'm blown away. For the price point it's excellent. I don't know why anybody would need to spend more money than this. It does everything I want and does it well. The software is great too. Nice and simple, works well without clutter. Very happy with my purchase.",5.0
"Very impressed with this signature tablet!! Compatible on Windows 11, very to install. Just download the driver from their website. (Tip: Run As Administrator when installing the driver for all users to use on a PC).

The tablet is light weight, decent, practical sized. The stylus is lovely to grip and responsive on the tablet. Easy to use and setup.",5.0
"I own a MacBook Pro 14” with an M5 chip, and mainly use this product in the preview app to add annotations. It was very easy to set up and works as described, though since I’m using the preview app there isn’t a shortcut for the brush/pen though a shortcut can be added. It does get a little bit confused every now and then and seems to not be able to properly replicate the delete button. There is no more usb port on a MacBook so I had a little scare that I wouldn’t be able to use but the converter meant for the phone works just fine. Seems pretty smooth but I tend to write with a lot of pressure and can not figure out how to change that. Though if you’re using the recommended applications this will be easily customisable for you. Comes with everything for described and for 20 pounds is an excellent alternative to a iPad",4.0
"I love this tablet!
The pen feels solid and I haven't had any issues with mine breaking or getting work yet, for the price that you pay, it's amazing. No setup needed unless you want to change some settings.
Value 10/10
Design 10/10

Would reccomend!",5.0
"My wife needed a tablet to complete a design course that she is doing. She has a Mac and a PC, so I needed a tablet that was low cost that works easily with Mac OS and Windows. I also didn't want a pen with a battery.

I looked at all the others in this price range and watched many videos. Some of the review videos can be very fussy when reviewing these things so I also had to add a bit of my own judgement. I seem to have made the right choice with this model. As my wife is incredibly pleased with it. Believe me, if this were no good, she would be getting me to buy a different one. So already, we are onto a winner.

The pen is of an excellent quality and has no battery to keep having to change. It is accurate and the only problem my wife has is getting used to using it as a pen and not a mouse. When you first use these things, you want to try to use it like a mouse. But with a tablet, if you move the pen to the top right of the pad, then the mouse pointer will be at the top right no matter what you do.

The buttons on the tablet are a nice to have. They are easy to setup and customise with the provided app.

She has been using it with Adobe Creative Cloud with no issues at all. We just plugged it in, and it worked. Nothing else to do really.

At the cost, I thought it was going to be a nightmare. But this tablet has really surprised me with how effective it is at this price. I have been buying the famous brand all these years thinking there is no other make of tablet that I would want to use. This model has changed all that for me and I would be happy to look at other products made by this brand.

This tablet also comes with a nice storage bag and a USB to USB C and USB Mini adapter. It also works with Windows 7 if you don't have Windows 10 yet. You can also use the USB C adapter to connect other items to your Mac such as a USB memory stick.

The tablet is 10mm thick, so not too high for drawing.

Overall, a high-quality, extremely easy to use tablet and comes in a quality box with everything needed.",5.0
"Affordable tablet that just works
My experience with the tablet has been great, it’s a nice and affordable bit of kit, may not be an artist or an OSU player, but for my use of teaching online, it’s been great.

Using it
The pen glided well, nice bit of resistance, not as much as paper but enough to make it comfortable to write with. The button mapping was useful and easily reprogrammable in the app, my main use being switching brushes and tacking screenshots. The pressure sensitivity, yeh nice and responsive with smooth size changing. It made my writing look much more natural. So enjoyed it.

Use in MS white board
Once you get the screen ratio right it is great and improves your ability to teach as you can show live examples and easily annotate. The reprogrammable buttons have been more useful than I thought, switching between brushes and screenshots made easy.

Pen
The pen, honestly was the best. Much better than the pen you get with other budget tablets like the Wacom One. The pen being battery free was a good convenience as you have it ready when ever you need it, but bear in mind that there is a limit to how far up you can hold the pen being roughly 0.7 cm when you just lifted it off the pad. So you will want to hold the pen a bit higher up but that’s not really an issue. Holding it was realy comfortable esspecialy with the grip.

Connectivity
This is where it starts of strong, this is one of them rare occasions where there is support for Linux. This off the bat was surprising. This ment I could use it with my workstation. However, my main use was on windows, so regarding that it was great. Basic plug and play.

App
The app responsive, and simple. Plug in the tablet, it does the rest. With the UI, it was very clean, making it easy to remap buttons and screen ratio which was nice and intuitive. Didn’t like that it was on start-up, but the tablet works best with the app so that’s fine. But personally, I leave start-up disabled and open as needed.

Overall I have loved using it and in my opinion for its price it is the best and possibly only thing you need as 10 replacement nibs will last you a while and given your not doing anything extreme it ticks most boxes and is better than similar priced alternatives like Wacom one.

Warning
The app drivers conflict with Asus armoury crate to the point I had weird issues. Please ensure if you have an asus computer or motherboard to disable this dumb app.",5.0
"I bought this tablet a few years back, mainly buying into the hype that you “need” a tablet to be good at OSU!

On Windows, it’s a decent, cheap device. It works fine for gaming and the input is responsive. If you use a Windows PC, it’s a solid choice.

Recently, I tried using this with my new MacBook for College work, writing notes and answering practice questions as it is advertised as an “Online-Learning Device”. It was a nightmare. Despite downloading drivers from the Gaomon website, I couldn’t get the pressure sensitivity to work properly, nor could my Mac recognise the device. The cursor moves, but you have to press down incredibly hard for it to register, making it useless for writing.

The active area is quite small, so if you have large hands you might find it quite cramped. It uses Micro-USB, and the pen is comfortable enough, but a little thick.

In short, it’s great on Windows (aside from the fact that the software is quite clunky), but I cannot recommend it for Mac Users or students wanting to take notes.",3.0
Pretty efficient very effective it is a great prize for a starter gadget. Very interesting to get into digital. Art with it got apt bettet at drawing on my pc with it overall its great for people who on a budget and want to start doing drawing on iPad or pc or iPhone,5.0
it's good for drawing. The buttons are useful. There is no battery life connects to USB. The value for money is good when it has discounts. you can customise the pressure and sensitivity to however you like. To improve it can be a big bigger to be perfect. Overall the quality is great.,4.0
Great product. It works straifht out of the box. The parcel was delivered in the middle of an online lesson I was conductiong and I was able to seamlessly start using it straight away in that very same lesson! The pen itself comes with a nice felt case but I wish they also provided a case for the pad itself for portability.,5.0
"Wow. I'm pleasantly surprised. I previously owned a much more expensive Wacom tablet. After years of frustrations with that one in relation to drivers and glitchy behaviour I finally decided to chance a different brand. I have to say I'm blown away. For the price point it's excellent. I don't know why anybody would need to spend more money than this. It does everything I want and does it well. The software is great too. Nice and simple, works well without clutter. Very happy with my purchase.",5.0
"Very impressed with this signature tablet!! Compatible on Windows 11, very to install. Just download the driver from their website. (Tip: Run As Administrator when installing the driver for all users to use on a PC).

The tablet is light weight, decent, practical sized. The stylus is lovely to grip and responsive on the tablet. Easy to use and setup.",5.0
"I own a MacBook Pro 14” with an M5 chip, and mainly use this product in the preview app to add annotations. It was very easy to set up and works as described, though since I’m using the preview app there isn’t a shortcut for the brush/pen though a shortcut can be added. It does get a little bit confused every now and then and seems to not be able to properly replicate the delete button. There is no more usb port on a MacBook so I had a little scare that I wouldn’t be able to use but the converter meant for the phone works just fine. Seems pretty smooth but I tend to write with a lot of pressure and can not figure out how to change that. Though if you’re using the recommended applications this will be easily customisable for you. Comes with everything for described and for 20 pounds is an excellent alternative to a iPad",4.0
"I love this tablet!
The pen feels solid and I haven't had any issues with mine breaking or getting work yet, for the price that you pay, it's amazing. No setup needed unless you want to change some settings.
Value 10/10
Design 10/10

Would reccomend!",5.0
"My wife needed a tablet to complete a design course that she is doing. She has a Mac and a PC, so I needed a tablet that was low cost that works easily with Mac OS and Windows. I also didn't want a pen with a battery.

I looked at all the others in this price range and watched many videos. Some of the review videos can be very fussy when reviewing these things so I also had to add a bit of my own judgement. I seem to have made the right choice with this model. As my wife is incredibly pleased with it. Believe me, if this were no good, she would be getting me to buy a different one. So already, we are onto a winner.

The pen is of an excellent quality and has no battery to keep having to change. It is accurate and the only problem my wife has is getting used to using it as a pen and not a mouse. When you first use these things, you want to try to use it like a mouse. But with a tablet, if you move the pen to the top right of the pad, then the mouse pointer will be at the top right no matter what you do.

The buttons on the tablet are a nice to have. They are easy to setup and customise with the provided app.

She has been using it with Adobe Creative Cloud with no issues at all. We just plugged it in, and it worked. Nothing else to do really.

At the cost, I thought it was going to be a nightmare. But this tablet has really surprised me with how effective it is at this price. I have been buying the famous brand all these years thinking there is no other make of tablet that I would want to use. This model has changed all that for me and I would be happy to look at other products made by this brand.

This tablet also comes with a nice storage bag and a USB to USB C and USB Mini adapter. It also works with Windows 7 if you don't have Windows 10 yet. You can also use the USB C adapter to connect other items to your Mac such as a USB memory stick.

The tablet is 10mm thick, so not too high for drawing.

Overall, a high-quality, extremely easy to use tablet and comes in a quality box with everything needed.",5.0
"Affordable tablet that just works
My experience with the tablet has been great, it’s a nice and affordable bit of kit, may not be an artist or an OSU player, but for my use of teaching online, it’s been great.

Using it
The pen glided well, nice bit of resistance, not as much as paper but enough to make it comfortable to write with. The button mapping was useful and easily reprogrammable in the app, my main use being switching brushes and tacking screenshots. The pressure sensitivity, yeh nice and responsive with smooth size changing. It made my writing look much more natural. So enjoyed it.

Use in MS white board
Once you get the screen ratio right it is great and improves your ability to teach as you can show live examples and easily annotate. The reprogrammable buttons have been more useful than I thought, switching between brushes and screenshots made easy.

Pen
The pen, honestly was the best. Much better than the pen you get with other budget tablets like the Wacom One. The pen being battery free was a good convenience as you have it ready when ever you need it, but bear in mind that there is a limit to how far up you can hold the pen being roughly 0.7 cm when you just lifted it off the pad. So you will want to hold the pen a bit higher up but that’s not really an issue. Holding it was realy comfortable esspecialy with the grip.

Connectivity
This is where it starts of strong, this is one of them rare occasions where there is support for Linux. This off the bat was surprising. This ment I could use it with my workstation. However, my main use was on windows, so regarding that it was great. Basic plug and play.

App
The app responsive, and simple. Plug in the tablet, it does the rest. With the UI, it was very clean, making it easy to remap buttons and screen ratio which was nice and intuitive. Didn’t like that it was on start-up, but the tablet works best with the app so that’s fine. But personally, I leave start-up disabled and open as needed.

Overall I have loved using it and in my opinion for its price it is the best and possibly only thing you need as 10 replacement nibs will last you a while and given your not doing anything extreme it ticks most boxes and is better than similar priced alternatives like Wacom one.

Warning
The app drivers conflict with Asus armoury crate to the point I had weird issues. Please ensure if you have an asus computer or motherboard to disable this dumb app.",5.0
"I bought this tablet a few years back, mainly buying into the hype that you “need” a tablet to be good at OSU!

On Windows, it’s a decent, cheap device. It works fine for gaming and the input is responsive. If you use a Windows PC, it’s a solid choice.

Recently, I tried using this with my new MacBook for College work, writing notes and answering practice questions as it is advertised as an “Online-Learning Device”. It was a nightmare. Despite downloading drivers from the Gaomon website, I couldn’t get the pressure sensitivity to work properly, nor could my Mac recognise the device. The cursor moves, but you have to press down incredibly hard for it to register, making it useless for writing.

The active area is quite small, so if you have large hands you might find it quite cramped. It uses Micro-USB, and the pen is comfortable enough, but a little thick.

In short, it’s great on Windows (aside from the fact that the software is quite clunky), but I cannot recommend it for Mac Users or students wanting to take notes.",3.0
Pretty efficient very effective it is a great prize for a starter gadget. Very interesting to get into digital. Art with it got apt bettet at drawing on my pc with it overall its great for people who on a budget and want to start doing drawing on iPad or pc or iPhone,5.0
it's good for drawing. The buttons are useful. There is no battery life connects to USB. The value for money is good when it has discounts. you can customise the pressure and sensitivity to however you like. To improve it can be a big bigger to be perfect. Overall the quality is great.,4.0
Great product. It works straifht out of the box. The parcel was delivered in the middle of an online lesson I was conductiong and I was able to seamlessly start using it straight away in that very same lesson! The pen itself comes with a nice felt case but I wish they also provided a case for the pad itself for portability.,5.0
"Wow. I'm pleasantly surprised. I previously owned a much more expensive Wacom tablet. After years of frustrations with that one in relation to drivers and glitchy behaviour I finally decided to chance a different brand. I have to say I'm blown away. For the price point it's excellent. I don't know why anybody would need to spend more money than this. It does everything I want and does it well. The software is great too. Nice and simple, works well without clutter. Very happy with my purchase.",5.0
"Very impressed with this signature tablet!! Compatible on Windows 11, very to install. Just download the driver from their website. (Tip: Run As Administrator when installing the driver for all users to use on a PC).

The tablet is light weight, decent, practical sized. The stylus is lovely to grip and responsive on the tablet. Easy to use and setup.",5.0
"I own a MacBook Pro 14” with an M5 chip, and mainly use this product in the preview app to add annotations. It was very easy to set up and works as described, though since I’m using the preview app there isn’t a shortcut for the brush/pen though a shortcut can be added. It does get a little bit confused every now and then and seems to not be able to properly replicate the delete button. There is no more usb port on a MacBook so I had a little scare that I wouldn’t be able to use but the converter meant for the phone works just fine. Seems pretty smooth but I tend to write with a lot of pressure and can not figure out how to change that. Though if you’re using the recommended applications this will be easily customisable for you. Comes with everything for described and for 20 pounds is an excellent alternative to a iPad",4.0
"I love this tablet!
The pen feels solid and I haven't had any issues with mine breaking or getting work yet, for the price that you pay, it's amazing. No setup needed unless you want to change some settings.
Value 10/10
Design 10/10

Would reccomend!",5.0
"My wife needed a tablet to complete a design course that she is doing. She has a Mac and a PC, so I needed a tablet that was low cost that works easily with Mac OS and Windows. I also didn't want a pen with a battery.

I looked at all the others in this price range and watched many videos. Some of the review videos can be very fussy when reviewing these things so I also had to add a bit of my own judgement. I seem to have made the right choice with this model. As my wife is incredibly pleased with it. Believe me, if this were no good, she would be getting me to buy a different one. So already, we are onto a winner.

The pen is of an excellent quality and has no battery to keep having to change. It is accurate and the only problem my wife has is getting used to using it as a pen and not a mouse. When you first use these things, you want to try to use it like a mouse. But with a tablet, if you move the pen to the top right of the pad, then the mouse pointer will be at the top right no matter what you do.

The buttons on the tablet are a nice to have. They are easy to setup and customise with the provided app.

She has been using it with Adobe Creative Cloud with no issues at all. We just plugged it in, and it worked. Nothing else to do really.

At the cost, I thought it was going to be a nightmare. But this tablet has really surprised me with how effective it is at this price. I have been buying the famous brand all these years thinking there is no other make of tablet that I would want to use. This model has changed all that for me and I would be happy to look at other products made by this brand.

This tablet also comes with a nice storage bag and a USB to USB C and USB Mini adapter. It also works with Windows 7 if you don't have Windows 10 yet. You can also use the USB C adapter to connect other items to your Mac such as a USB memory stick.

The tablet is 10mm thick, so not too high for drawing.

Overall, a high-quality, extremely easy to use tablet and comes in a quality box with everything needed.",5.0
"Affordable tablet that just works
My experience with the tablet has been great, it’s a nice and affordable bit of kit, may not be an artist or an OSU player, but for my use of teaching online, it’s been great.

Using it
The pen glided well, nice bit of resistance, not as much as paper but enough to make it comfortable to write with. The button mapping was useful and easily reprogrammable in the app, my main use being switching brushes and tacking screenshots. The pressure sensitivity, yeh nice and responsive with smooth size changing. It made my writing look much more natural. So enjoyed it.

Use in MS white board
Once you get the screen ratio right it is great and improves your ability to teach as you can show live examples and easily annotate. The reprogrammable buttons have been more useful than I thought, switching between brushes and screenshots made easy.

Pen
The pen, honestly was the best. Much better than the pen you get with other budget tablets like the Wacom One. The pen being battery free was a good convenience as you have it ready when ever you need it, but bear in mind that there is a limit to how far up you can hold the pen being roughly 0.7 cm when you just lifted it off the pad. So you will want to hold the pen a bit higher up but that’s not really an issue. Holding it was realy comfortable esspecialy with the grip.

Connectivity
This is where it starts of strong, this is one of them rare occasions where there is support for Linux. This off the bat was surprising. This ment I could use it with my workstation. However, my main use was on windows, so regarding that it was great. Basic plug and play.

App
The app responsive, and simple. Plug in the tablet, it does the rest. With the UI, it was very clean, making it easy to remap buttons and screen ratio which was nice and intuitive. Didn’t like that it was on start-up, but the tablet works best with the app so that’s fine. But personally, I leave start-up disabled and open as needed.

Overall I have loved using it and in my opinion for its price it is the best and possibly only thing you need as 10 replacement nibs will last you a while and given your not doing anything extreme it ticks most boxes and is better than similar priced alternatives like Wacom one.

Warning
The app drivers conflict with Asus armoury crate to the point I had weird issues. Please ensure if you have an asus computer or motherboard to disable this dumb app.",5.0
"I bought this tablet a few years back, mainly buying into the hype that you “need” a tablet to be good at OSU!

On Windows, it’s a decent, cheap device. It works fine for gaming and the input is responsive. If you use a Windows PC, it’s a solid choice.

Recently, I tried using this with my new MacBook for College work, writing notes and answering practice questions as it is advertised as an “Online-Learning Device”. It was a nightmare. Despite downloading drivers from the Gaomon website, I couldn’t get the pressure sensitivity to work properly, nor could my Mac recognise the device. The cursor moves, but you have to press down incredibly hard for it to register, making it useless for writing.

The active area is quite small, so if you have large hands you might find it quite cramped. It uses Micro-USB, and the pen is comfortable enough, but a little thick.

In short, it’s great on Windows (aside from the fact that the software is quite clunky), but I cannot recommend it for Mac Users or students wanting to take notes.",3.0
Pretty efficient very effective it is a great prize for a starter gadget. Very interesting to get into digital. Art with it got apt bettet at drawing on my pc with it overall its great for people who on a budget and want to start doing drawing on iPad or pc or iPhone,5.0
it's good for drawing. The buttons are useful. There is no battery life connects to USB. The value for money is good when it has discounts. you can customise the pressure and sensitivity to however you like. To improve it can be a big bigger to be perfect. Overall the quality is great.,4.0
Great product. It works straifht out of the box. The parcel was delivered in the middle of an online lesson I was conductiong and I was able to seamlessly start using it straight away in that very same lesson! The pen itself comes with a nice felt case but I wish they also provided a case for the pad itself for portability.,5.0
"Wow. I'm pleasantly surprised. I previously owned a much more expensive Wacom tablet. After years of frustrations with that one in relation to drivers and glitchy behaviour I finally decided to chance a different brand. I have to say I'm blown away. For the price point it's excellent. I don't know why anybody would need to spend more money than this. It does everything I want and does it well. The software is great too. Nice and simple, works well without clutter. Very happy with my purchase.",5.0
"Very impressed with this signature tablet!! Compatible on Windows 11, very to install. Just download the driver from their website. (Tip: Run As Administrator when installing the driver for all users to use on a PC).

The tablet is light weight, decent, practical sized. The stylus is lovely to grip and responsive on the tablet. Easy to use and setup.",5.0
"I own a MacBook Pro 14” with an M5 chip, and mainly use this product in the preview app to add annotations. It was very easy to set up and works as described, though since I’m using the preview app there isn’t a shortcut for the brush/pen though a shortcut can be added. It does get a little bit confused every now and then and seems to not be able to properly replicate the delete button. There is no more usb port on a MacBook so I had a little scare that I wouldn’t be able to use but the converter meant for the phone works just fine. Seems pretty smooth but I tend to write with a lot of pressure and can not figure out how to change that. Though if you’re using the recommended applications this will be easily customisable for you. Comes with everything for described and for 20 pounds is an excellent alternative to a iPad",4.0
"I love this tablet!
The pen feels solid and I haven't had any issues with mine breaking or getting work yet, for the price that you pay, it's amazing. No setup needed unless you want to change some settings.
Value 10/10
Design 10/10

Would reccomend!",5.0
"My wife needed a tablet to complete a design course that she is doing. She has a Mac and a PC, so I needed a tablet that was low cost that works easily with Mac OS and Windows. I also didn't want a pen with a battery.

I looked at all the others in this price range and watched many videos. Some of the review videos can be very fussy when reviewing these things so I also had to add a bit of my own judgement. I seem to have made the right choice with this model. As my wife is incredibly pleased with it. Believe me, if this were no good, she would be getting me to buy a different one. So already, we are onto a winner.

The pen is of an excellent quality and has no battery to keep having to change. It is accurate and the only problem my wife has is getting used to using it as a pen and not a mouse. When you first use these things, you want to try to use it like a mouse. But with a tablet, if you move the pen to the top right of the pad, then the mouse pointer will be at the top right no matter what you do.

The buttons on the tablet are a nice to have. They are easy to setup and customise with the provided app.

She has been using it with Adobe Creative Cloud with no issues at all. We just plugged it in, and it worked. Nothing else to do really.

At the cost, I thought it was going to be a nightmare. But this tablet has really surprised me with how effective it is at this price. I have been buying the famous brand all these years thinking there is no other make of tablet that I would want to use. This model has changed all that for me and I would be happy to look at other products made by this brand.

This tablet also comes with a nice storage bag and a USB to USB C and USB Mini adapter. It also works with Windows 7 if you don't have Windows 10 yet. You can also use the USB C adapter to connect other items to your Mac such as a USB memory stick.

The tablet is 10mm thick, so not too high for drawing.

Overall, a high-quality, extremely easy to use tablet and comes in a quality box with everything needed.",5.0
"Affordable tablet that just works
My experience with the tablet has been great, it’s a nice and affordable bit of kit, may not be an artist or an OSU player, but for my use of teaching online, it’s been great.

Using it
The pen glided well, nice bit of resistance, not as much as paper but enough to make it comfortable to write with. The button mapping was useful and easily reprogrammable in the app, my main use being switching brushes and tacking screenshots. The pressure sensitivity, yeh nice and responsive with smooth size changing. It made my writing look much more natural. So enjoyed it.

Use in MS white board
Once you get the screen ratio right it is great and improves your ability to teach as you can show live examples and easily annotate. The reprogrammable buttons have been more useful than I thought, switching between brushes and screenshots made easy.

Pen
The pen, honestly was the best. Much better than the pen you get with other budget tablets like the Wacom One. The pen being battery free was a good convenience as you have it ready when ever you need it, but bear in mind that there is a limit to how far up you can hold the pen being roughly 0.7 cm when you just lifted it off the pad. So you will want to hold the pen a bit higher up but that’s not really an issue. Holding it was realy comfortable esspecialy with the grip.

Connectivity
This is where it starts of strong, this is one of them rare occasions where there is support for Linux. This off the bat was surprising. This ment I could use it with my workstation. However, my main use was on windows, so regarding that it was great. Basic plug and play.

App
The app responsive, and simple. Plug in the tablet, it does the rest. With the UI, it was very clean, making it easy to remap buttons and screen ratio which was nice and intuitive. Didn’t like that it was on start-up, but the tablet works best with the app so that’s fine. But personally, I leave start-up disabled and open as needed.

Overall I have loved using it and in my opinion for its price it is the best and possibly only thing you need as 10 replacement nibs will last you a while and given your not doing anything extreme it ticks most boxes and is better than similar priced alternatives like Wacom one.

Warning
The app drivers conflict with Asus armoury crate to the point I had weird issues. Please ensure if you have an asus computer or motherboard to disable this dumb app.",5.0
"I bought this tablet a few years back, mainly buying into the hype that you “need” a tablet to be good at OSU!

On Windows, it’s a decent, cheap device. It works fine for gaming and the input is responsive. If you use a Windows PC, it’s a solid choice.

Recently, I tried using this with my new MacBook for College work, writing notes and answering practice questions as it is advertised as an “Online-Learning Device”. It was a nightmare. Despite downloading drivers from the Gaomon website, I couldn’t get the pressure sensitivity to work properly, nor could my Mac recognise the device. The cursor moves, but you have to press down incredibly hard for it to register, making it useless for writing.

The active area is quite small, so if you have large hands you might find it quite cramped. It uses Micro-USB, and the pen is comfortable enough, but a little thick.

In short, it’s great on Windows (aside from the fact that the software is quite clunky), but I cannot recommend it for Mac Users or students wanting to take notes.",3.0
Pretty efficient very effective it is a great prize for a starter gadget. Very interesting to get into digital. Art with it got apt bettet at drawing on my pc with it overall its great for people who on a budget and want to start doing drawing on iPad or pc or iPhone,5.0
